dataid,devicename,sensor,sensorid,value,dbtimestamp
70256422,NDS016,Soil Potassium,14,140.0,2025-05-20 00:02:43.363180
70256418,NDS016,Soil EC,11,395.0,2025-05-20 00:02:43.363180
70256419,NDS016,Soil pH,10,5.2,2025-05-20 00:02:43.363180
70256417,NDS016,Soil Temperature,8,26.7,2025-05-20 00:02:43.363180
70256416,NDS016,Soil Moisture,9,21.7,2025-05-20 00:02:43.363180
70256421,NDS016,Soil Phosphorus,13,147.0,2025-05-20 00:02:43.363180
70147815,NDS016,Soil Temperature,8,25.8,2025-05-19 00:00:44.221294
70147820,NDS016,Soil Potassium,14,76.0,2025-05-19 00:00:44.221294
70147814,NDS016,Soil Moisture,9,19.2,2025-05-19 00:00:44.221294
70147819,NDS016,Soil Phosphorus,13,83.0,2025-05-19 00:00:44.221294
70147818,NDS016,Soil Nitrogen,12,16.0,2025-05-19 00:00:44.221294
70147817,NDS016,Soil pH,10,5.1,2025-05-19 00:00:44.221294
70147816,NDS016,Soil EC,11,262.0,2025-05-19 00:00:44.221294
70035888,NDS016,Soil EC,11,278.0,2025-05-18 00:02:00.360770
70035891,NDS016,Soil Phosphorus,13,91.0,2025-05-18 00:02:00.360770
70035890,NDS016,Soil Nitrogen,12,19.0,2025-05-18 00:02:00.360770
70035886,NDS016,Soil Moisture,9,18.7,2025-05-18 00:02:00.360770
70035887,NDS016,Soil Temperature,8,27.1,2025-05-18 00:02:00.360770
70035892,NDS016,Soil Potassium,14,83.0,2025-05-18 00:02:00.360770
70035889,NDS016,Soil pH,10,5.3,2025-05-18 00:02:00.360770
69927205,NDS016,Soil pH,10,5.3,2025-05-17 00:06:29.439985
69927204,NDS016,Soil EC,11,291.0,2025-05-17 00:06:29.439985
69927207,NDS016,Soil Phosphorus,13,97.0,2025-05-17 00:06:29.439985
69927208,NDS016,Soil Potassium,14,90.0,2025-05-17 00:06:29.439985
69927206,NDS016,Soil Nitrogen,12,22.0,2025-05-17 00:06:29.439985
69927202,NDS016,Soil Moisture,9,19.4,2025-05-17 00:06:29.439985
69927203,NDS016,Soil Temperature,8,27.1,2025-05-17 00:06:29.439985
69820647,NDS016,Soil Moisture,9,20.5,2025-05-16 00:01:09.308815
69820651,NDS016,Soil Nitrogen,12,23.0,2025-05-16 00:01:09.308815
69820649,NDS016,Soil EC,11,296.0,2025-05-16 00:01:09.308815
69820648,NDS016,Soil Temperature,8,26.1,2025-05-16 00:01:09.308815
69820653,NDS016,Soil Potassium,14,92.0,2025-05-16 00:01:09.308815
69820652,NDS016,Soil Phosphorus,13,99.0,2025-05-16 00:01:09.308815
69820650,NDS016,Soil pH,10,5.2,2025-05-16 00:01:09.308815
69714373,NDS016,Soil Phosphorus,13,105.0,2025-05-15 00:00:14.042712
69714370,NDS016,Soil EC,11,307.0,2025-05-15 00:00:14.042712
69714371,NDS016,Soil pH,10,5.0,2025-05-15 00:00:14.042712
69714369,NDS016,Soil Temperature,8,26.3,2025-05-15 00:00:14.042712
69714374,NDS016,Soil Potassium,14,98.0,2025-05-15 00:00:14.042712
69714368,NDS016,Soil Moisture,9,19.3,2025-05-15 00:00:14.042712
69714372,NDS016,Soil Nitrogen,12,25.0,2025-05-15 00:00:14.042712
69626355,NDS016,Soil Nitrogen,12,27.0,2025-05-14 00:01:42.195528
69626357,NDS016,Soil Potassium,14,102.0,2025-05-14 00:01:42.195528
69626352,NDS016,Soil Temperature,8,25.8,2025-05-14 00:01:42.195528
69626356,NDS016,Soil Phosphorus,13,109.0,2025-05-14 00:01:42.195528
69626353,NDS016,Soil EC,11,316.0,2025-05-14 00:01:42.195528
69626354,NDS016,Soil pH,10,5.2,2025-05-14 00:01:42.195528
69626351,NDS016,Soil Moisture,9,20.5,2025-05-14 00:01:42.195528
69606620,NDS016,Soil Moisture,9,20.7,2025-05-13 00:00:56.194375
69606621,NDS016,Soil Temperature,8,27.1,2025-05-13 00:00:56.194375
69606626,NDS016,Soil Potassium,14,115.0,2025-05-13 00:00:56.194375
69606625,NDS016,Soil Phosphorus,13,122.0,2025-05-13 00:00:56.194375
69606623,NDS016,Soil pH,10,5.4,2025-05-13 00:00:56.194375
69606622,NDS016,Soil EC,11,342.0,2025-05-13 00:00:56.194375
69606624,NDS016,Soil Nitrogen,12,32.0,2025-05-13 00:00:56.194375
69585335,NDS016,Soil pH,10,5.6,2025-05-12 00:01:28.328194
69585336,NDS016,Soil Nitrogen,12,35.0,2025-05-12 00:01:28.328194
69585337,NDS016,Soil Phosphorus,13,128.0,2025-05-12 00:01:28.328194
69585338,NDS016,Soil Potassium,14,121.0,2025-05-12 00:01:28.328194
69585333,NDS016,Soil Temperature,8,27.3,2025-05-12 00:01:28.328194
69585332,NDS016,Soil Moisture,9,20.2,2025-05-12 00:01:28.328194
69585334,NDS016,Soil EC,11,356.0,2025-05-12 00:01:28.328194
69564420,NDS016,Soil Temperature,8,26.0,2025-05-11 00:01:23.145041
69564423,NDS016,Soil Nitrogen,12,36.0,2025-05-11 00:01:23.145041
69564421,NDS016,Soil EC,11,360.0,2025-05-11 00:01:23.145041
69564419,NDS016,Soil Moisture,9,19.9,2025-05-11 00:01:23.145041
69564425,NDS016,Soil Potassium,14,123.0,2025-05-11 00:01:23.145041
69564424,NDS016,Soil Phosphorus,13,130.0,2025-05-11 00:01:23.145041
69564422,NDS016,Soil pH,10,5.8,2025-05-11 00:01:23.145041
69539815,NDS016,Soil EC,11,384.0,2025-05-10 00:04:31.289963
69539814,NDS016,Soil Temperature,8,27.4,2025-05-10 00:04:31.289963
69539817,NDS016,Soil Nitrogen,12,41.0,2025-05-10 00:04:31.289963
69539818,NDS016,Soil Phosphorus,13,142.0,2025-05-10 00:04:31.289963
69539813,NDS016,Soil Moisture,9,20.4,2025-05-10 00:04:31.289963
69539819,NDS016,Soil Potassium,14,135.0,2025-05-10 00:04:31.289963
69539816,NDS016,Soil pH,10,3.9,2025-05-10 00:04:31.289963
69518016,NDS016,Soil pH,10,5.4,2025-05-09 00:00:11.422223
69518017,NDS016,Soil Nitrogen,12,42.0,2025-05-09 00:00:11.422223
69518019,NDS016,Soil Potassium,14,137.0,2025-05-09 00:00:11.422223
69518013,NDS016,Soil Moisture,9,20.4,2025-05-09 00:00:11.422223
69518018,NDS016,Soil Phosphorus,13,144.0,2025-05-09 00:00:11.422223
69518014,NDS016,Soil Temperature,8,26.4,2025-05-09 00:00:11.422223
69518015,NDS016,Soil EC,11,388.0,2025-05-09 00:00:11.422223
69492277,NDS016,Soil Moisture,9,22.1,2025-05-08 00:02:44.834874
69492281,NDS016,Soil Nitrogen,12,46.0,2025-05-08 00:02:44.834874
69492280,NDS016,Soil pH,10,5.4,2025-05-08 00:02:44.834874
69492278,NDS016,Soil Temperature,8,27.7,2025-05-08 00:02:44.834874
69492283,NDS016,Soil Potassium,14,146.0,2025-05-08 00:02:44.834874
69492282,NDS016,Soil Phosphorus,13,153.0,2025-05-08 00:02:44.834874
69492279,NDS016,Soil EC,11,406.0,2025-05-08 00:02:44.834874
69478308,NDS016,Soil Nitrogen,12,47.0,2025-05-07 00:02:50.629780
69478306,NDS016,Soil EC,11,412.0,2025-05-07 00:02:50.629780
69478307,NDS016,Soil pH,10,5.7,2025-05-07 00:02:50.629780
69478304,NDS016,Soil Moisture,9,21.1,2025-05-07 00:02:50.629780
69478305,NDS016,Soil Temperature,8,27.2,2025-05-07 00:02:50.629780
