dbtimestamp,devicename,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,NPK Ratio,N Category,P Category,K Category,NPK Level,NPK Done,feeding_description,Feeding Category
2025-02-27 00:00:02.365069,NDS016,1758.0,66.4,328.0,805.0,803.0,26.7,4.8,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-27 00:00:02.357013,NDS011,1275.0,43.0,227.0,572.0,568.0,26.6,6.3,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-26 00:00:38.986147,NDS004,1614.0,59.9,298.0,735.0,733.0,26.8,8.0,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-26 00:00:24.357511,NDS005,1760.0,83.0,328.0,806.0,804.0,26.8,6.1,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-26 00:00:17.781745,NDS016,1761.0,73.4,329.0,806.0,804.0,26.8,5.0,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-26 00:00:03.040232,NDS011,1234.0,40.4,219.0,552.0,548.0,26.7,6.5,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-26 00:00:00.679905,NDS012,793.0,34.3,127.0,339.0,334.0,27.3,8.3,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-25 00:01:08.466396,NDS005,1736.0,81.2,323.0,794.0,792.0,26.6,5.8,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-25 00:00:30.584730,NDS016,1746.0,70.6,325.0,799.0,797.0,26.6,5.3,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-25 00:00:04.162084,NDS004,1627.0,62.3,301.0,741.0,739.0,26.6,8.1,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-25 00:00:01.601461,NDS012,783.0,39.6,124.0,334.0,329.0,27.1,8.1,1.0 : 2.7 : 2.7,High,High,High,Invalid,Not Done Composting,,None
2025-02-25 00:00:00.691123,NDS011,1208.0,43.2,213.0,539.0,536.0,26.5,6.2,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-24 00:00:33.059121,NDS004,1598.0,61.0,295.0,727.0,725.0,26.4,7.7,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-24 00:00:21.910297,NDS016,1752.0,67.1,327.0,802.0,800.0,26.4,5.3,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-24 00:00:18.427914,NDS005,1727.0,88.5,321.0,790.0,788.0,26.4,5.5,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-24 00:00:01.021020,NDS012,803.0,38.2,129.0,344.0,339.0,26.9,8.1,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-24 00:00:00.584368,NDS011,1222.0,47.0,216.0,546.0,542.0,26.4,6.3,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-23 00:00:21.110633,NDS004,1633.0,57.5,302.0,744.0,742.0,26.8,7.7,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-23 00:00:06.470242,NDS005,1736.0,84.7,323.0,794.0,792.0,26.9,6.4,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-23 00:00:04.009460,NDS012,826.0,39.0,133.0,355.0,350.0,27.4,8.7,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-23 00:00:03.192745,NDS016,1765.0,72.4,329.0,808.0,806.0,26.9,5.3,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-23 00:00:01.670015,NDS011,1286.0,56.4,229.0,577.0,574.0,26.7,6.4,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-22 00:01:10.106925,NDS005,1736.0,82.3,323.0,794.0,792.0,27.2,5.5,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-22 00:00:06.514781,NDS004,1677.0,64.7,311.0,766.0,764.0,27.1,4.6,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-22 00:00:05.179461,NDS016,1771.0,75.2,331.0,811.0,809.0,27.1,4.8,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-22 00:00:03.330113,NDS012,873.0,37.5,143.0,378.0,373.0,27.6,8.4,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-22 00:00:02.091502,NDS011,1336.0,57.9,240.0,601.0,598.0,27.0,6.5,1.0 : 2.5 : 2.5,High,Optimal,High,Invalid,Not Done Composting,,None
2025-02-21 00:01:02.648670,NDS004,1671.0,61.0,310.0,763.0,761.0,27.0,7.9,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-21 00:00:48.003415,NDS005,1754.0,87.6,327.0,803.0,801.0,27.1,6.3,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-21 00:00:24.445119,NDS016,1771.0,73.4,331.0,811.0,809.0,27.0,6.2,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-21 00:00:02.127012,NDS012,919.0,38.9,153.0,400.0,395.0,27.5,7.8,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-21 00:00:01.706571,NDS011,1342.0,59.6,241.0,604.0,601.0,26.8,6.3,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-20 00:00:47.618079,NDS004,1655.0,66.6,306.0,755.0,753.0,26.9,7.9,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-20 00:00:32.978733,NDS005,1778.0,93.0,332.0,814.0,813.0,27.1,6.0,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-20 00:00:19.448924,NDS016,1755.0,76.6,327.0,803.0,802.0,26.9,3.0,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-20 00:00:03.492123,NDS011,1257.0,55.2,223.0,563.0,559.0,26.7,6.5,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-20 00:00:00.521748,NDS012,915.0,38.7,152.0,398.0,393.0,27.5,7.7,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-19 00:00:46.684172,NDS004,1667.0,64.9,309.0,761.0,759.0,26.6,6.0,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-19 00:00:31.873000,NDS005,1778.0,91.2,332.0,814.0,813.0,26.8,6.0,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-19 00:00:11.789052,NDS016,1765.0,75.6,329.0,808.0,806.0,26.7,5.7,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-19 00:00:01.623581,NDS012,945.0,41.8,158.0,413.0,408.0,27.2,7.8,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-19 00:00:01.352755,NDS011,1222.0,52.9,216.0,546.0,542.0,26.5,6.4,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-18 00:01:05.001087,NDS004,1705.0,66.0,317.0,779.0,777.0,26.9,5.6,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-18 00:00:50.350478,NDS005,1703.0,85.5,316.0,778.0,776.0,27.1,5.5,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-18 00:00:11.026182,NDS016,1796.0,75.6,336.0,823.0,821.0,26.9,5.9,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-18 00:00:02.940881,NDS012,1016.0,41.0,173.0,447.0,442.0,27.5,7.6,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-18 00:00:02.428231,NDS011,1208.0,55.0,213.0,539.0,536.0,26.8,6.4,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-17 00:00:23.763951,NDS015,1473.0,41.2,268.0,667.0,664.0,27.2,8.3,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-17 00:00:19.323184,NDS006,900.0,27.0,149.0,391.0,386.0,27.4,5.9,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-17 00:00:16.882038,NDS005,1583.0,72.0,291.0,720.0,718.0,27.9,5.6,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-17 00:00:04.308306,NDS011,1149.0,52.2,201.0,511.0,507.0,27.6,6.4,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
